"Дата","Пользователи, у которых установлено приложение Android","Все установки Android","Новые установки Android","Удаления Android","Все установки iOS","Новые установки iOS","Удаления iOS","Все поиски Android","Уникальные поиски Android","Все поиски iOS","Уникальные поиски iOS"
"22/04/2021","1296811","6837","4077","4641","2978.125","1334","1746.875","271231","199936","145201","119013"
"23/04/2021","1292868","7448","4483","4786","2968.75","1396","1593.75","262141","194100","139955","114188"
"24/04/2021","1290591","7531","4621","4898","3206.25","1463","1615.625","266479","192901","135698","110572"
"25/04/2021","1288364","8051","4939","5419","3412.5","1425","1762.5","266676","192052","135732","110449"
"26/04/2021","1287894","7991","5085","4861","3284.375","1522","1856.25","293805","210727","150811","123417"
"27/04/2021","1288628","8788","6036","5339","3556.25","1826","1828.125","293726","212224","152692","123943"
"28/04/2021","1288196","7079","4592","4891","3400","1574","2081.25","288434","210236","150593","122769"
"29/04/2021","1291990","13414","9782","5787","3796.875","2146","1762.5","279177","203300","140733","115185"
"30/04/2021","1292766","8940","5919","5195","3712.5","1688","1762.5","323864","231371","150097","121233"
"01/05/2021","1292210","7418","4765","4571","3071.875","1389","1650","257701","190790","124507","102535"
"02/05/2021","1290806","7177","4617","4598","3121.875","1402","1471.875","249148","183081","122378","99926"
"03/05/2021","1301629","23102","16285","7814","8153.125","5172","2631.25","310133","205367","158105","116022"
"04/05/2021","1305035","12828","8710","6495","7440.625","3354","2640.625","402722","248860","212641","144739"
"05/05/2021","1307363","11672","7378","6342","5003.125","2432","2146.875","332542","230816","171210","133499"
"06/05/2021","1316607","14386","10841","6513","5506.25","3175","2359.375","388153","278487","166676","129553"
"07/05/2021","1326186","10465","7033","5610","4809.375","2284","2059.375","336862","233972","164606","126795"
"08/05/2021","1329017","9194","6248","5667","4037.5","1911","2100","305760","216519","148710","119451"
"09/05/2021","1332905","8768","5708","5815","3678.125","1700","1706.25","284985","207060","136294","109767"
"10/05/2021","1350394","14846","10807","6779","4990.625","2996","2062.5","361067","266862","149265","118133"
"11/05/2021","1356400","10114","6846","6299","4700","2173","2018.75","409772","299756","176729","139347"
"12/05/2021","1368256","21754","16195","7866","7818.75","4889","2709.375","322711","232119","174789","135889"
"13/05/2021","1371213","13386","9472","6527","6690.625","2923","2196.875","392493","258815","209568","148225"
"14/05/2021","1374996","12063","8691","5952","4740.625","2417","2000","346205","237592","170774","133260"
"15/05/2021","1376483","9094","6164","5465","4184.375","1911","1828.125","303722","213847","148122","118988"
"16/05/2021","1384344","17568","13311","7325","5856.25","3476","2340.625","298967","214246","147678","117262"
"17/05/2021","1400495","28274","21082","9219","8362.5","5112","2784.375","377418","260895","184179","142175"
"18/05/2021","1407810","18052","13267","8273","7731.25","3834","2890.625","468212","296038","225469","161094"
"19/05/2021","1418428","22394","16638","9182","7325","4480","2693.75","477345","324147","199783","153199"
"20/05/2021","1424753","19323","14537","9334","7706.25","4248","2718.75","490817","338526","216142","156994"
"21/05/2021","1434175","22232","17089","9451","7181.25","4533","2481.25","396075","279697","190034","148335"
"22/05/2021","1439370","17335","12978","8663","6656.25","3627","2637.5","567839","280994","174889","138059"
"23/05/2021","1459159","36687","28866","12948","15709.375","11844","4468.75","805484","277122","191278","146970"
"24/05/2021","1468858","24213","18411","10736","12953.125","7052","4065.625","1080643","389001","248133","185198"
"25/05/2021","1482570","30100","23717","12744","10737.5","6378","4003.125","1167670","397569","237205","179699"
"26/05/2021","1496189","28490","22013","12333","9753.125","6135","3515.625","1144862","402492","223476","172664"
"27/05/2021","1513712","33770","25686","13157","11825","6647","3775","1252592","362114","231339","172395"
"28/05/2021","1521920","21835","16400","11510","8865.625","4583","3606.25","1289361","402631","221531","164515"
"29/05/2021","1559166","59404","40481","18094","12084.375","7055","4059.375","1207428","323732","199593","146567"
"30/05/2021","1568007","27813","19922","15641","10246.875","4762","4221.875","967807","349028","210638","148555"
"31/05/2021","1579891","29824","22420","14550","9759.375","6918","3956.25","556215","360171","217560","164085"
"01/06/2021","1588263","25421","19181","14213","12378.125","6840","4121.875","573224","379136","257346","194363"
"02/06/2021","1605659","37858","30527","16908","10568.75","7226","4271.875","561038","397514","222827","173081"
"03/06/2021","1617295","33074","26087","17573","11318.75","6412","4068.75","594867","393473","235317","179418"
"04/06/2021","1623690","24305","18456","14722","8709.375","4738","3696.875","547096","369690","213422","166273"
"05/06/2021","1628899","20814","15690","12924","6918.75","3676","3246.875","486005","325037","190101","147015"
"06/06/2021","1643505","33437","24240","15246","10400","6701","3875","452983","308452","183688","141781"
"07/06/2021","1652621","26822","19807","14359","11928.125","6184","4265.625","718131","424345","327537","215487"
"08/06/2021","1657658","21485","15829","13864","8465.625","4567","4268.75","563640","381545","251840","191244"
"09/06/2021","1661601","20416","14716","13094","7331.25","3920","3250","513749","358314","232663","181581"
"10/06/2021","1670333","26479","19508","14281","7709.375","5072","3287.5","503804","345177","216087","169999"
"11/06/2021","1682854","28529","21590","14173","10809.375","6110","3850","602006","368786","269513","186055"
"12/06/2021","1689192","22218","16567","12808","8834.375","4666","3453.125","541801","360582","235427","175613"
"13/06/2021","1692043","24471","16610","17876","8371.875","4667","4450","389677","271025","171280","134147"
"14/06/2021","1692043","18654","13564","12704","7675","3633","4015.625","216141","155383","94569","76978"
"15/06/2021","1692043","14857","11055","10083","6150","3248","4177.419355","480586","339931","218884","174326"
"16/06/2021","1695307","17103","12204","13341","5840.625","3061","3370.967742","437879","315133","196742","157839"
"17/06/2021","1697516","17446","12773","11944","5887.5","3312","2987.096774","418495","299977","187955","150850"
