,created_at_date,search_query,searches,users
0,2022-09-10,a474ka159,1,1
1,2022-09-10,a714ht38,1208,795
2,2022-09-10,a988ao54,71,37
3,2022-09-10,b166pe750,6,5
4,2022-09-10,b306ab797,1,1
5,2022-09-10,b795mc156,2,2
6,2022-09-10,c025ex797,4,4
7,2022-09-10,c060cp78,9,4
8,2022-09-10,c579bc154,9,5
9,2022-09-10,c815mp09,54,41
10,2022-09-10,c830bm797,23,23
11,2022-09-10,e321mx750,3,3
12,2022-09-10,e419ac11,13,7
13,2022-09-10,e426kh98,1,1
14,2022-09-10,h003ek178,1,1
15,2022-09-10,h081ty93,4,3
16,2022-09-10,k090mo777,3,1
17,2022-09-10,k140hm198,11,10
18,2022-09-10,k828oh24,1,1
19,2022-09-10,m129ht98,1,1
20,2022-09-10,m244ck38,1,1
21,2022-09-10,m666ka98,1,1
22,2022-09-10,m707mm78,28,20
23,2022-09-10,p176hh198,1,1
24,2022-09-10,p423cp74,1,1
25,2022-09-10,p444ky777,29,24
26,2022-09-10,p536kh761,1,1
27,2022-09-10,p745hb198,7,6
28,2022-09-10,t146yc56,712,484
29,2022-09-10,t531ka77,4,1
30,2022-09-10,t790ek761,2,1
31,2022-09-10,t949kt78,3,3
32,2022-09-10,x035em193,8,8
33,2022-09-10,x304ak152,1,1
34,2022-09-10,x444bc197,4,3
35,2022-09-10,x920mb56,2,2
36,2022-09-10,x922mm56,2,2
37,2022-09-10,y090oe26,1,1
38,2022-09-10,y534ce24,1,1
39,2022-09-10,y535ao47,1,1
40,2022-09-11,a474ka159,1,1
41,2022-09-11,a714ht38,871,567
42,2022-09-11,a988ao54,69,45
43,2022-09-11,b166pe750,13,13
44,2022-09-11,b306ab797,1,1
45,2022-09-11,b772ay05,1,1
46,2022-09-11,b944hx190,1,1
47,2022-09-11,c025ex797,11,10
48,2022-09-11,c060cp78,3,3
49,2022-09-11,c579bc154,19,9
50,2022-09-11,c815mp09,35,19
51,2022-09-11,c830bm797,22,17
52,2022-09-11,e321mx750,2,2
53,2022-09-11,e419ac11,2,2
54,2022-09-11,e985et124,1,1
55,2022-09-11,h003ek178,1,1
56,2022-09-11,h081ty93,1,1
57,2022-09-11,h191yo26,2,1
58,2022-09-11,h795ek47,2,1
59,2022-09-11,k090mo777,1,1
60,2022-09-11,k140hm198,16,8
61,2022-09-11,k725xc73,2,2
62,2022-09-11,k828oh24,5,1
63,2022-09-11,m250op68,2,1
64,2022-09-11,m482ke97,3,2
65,2022-09-11,m707mm78,14,8
66,2022-09-11,o543mc174,1,1
67,2022-09-11,o658po799,2,2
68,2022-09-11,p176hh198,2,1
69,2022-09-11,p444ky777,22,19
70,2022-09-11,p461eo51,1,1
71,2022-09-11,p536kh761,2,2
72,2022-09-11,p745hb198,2,2
73,2022-09-11,t146yc56,488,332
74,2022-09-11,t522mm797,1,1
75,2022-09-11,t621bc39,7,4
76,2022-09-11,x035em193,1,1
77,2022-09-11,x085ee98,3,3
78,2022-09-11,x304ak152,1,1
79,2022-09-11,x444bc197,2,1
80,2022-09-11,x630om161,1,1
81,2022-09-11,x920mb56,2,2
82,2022-09-11,y090oe26,2,2
83,2022-09-11,y199yc777,2,1
84,2022-09-11,y535ao47,1,1
85,2022-09-12,a474ka159,2,2
86,2022-09-12,a714ht38,310,193
87,2022-09-12,a988ao54,13,5
88,2022-09-12,b166pe750,3,3
89,2022-09-12,b944hx190,1,1
90,2022-09-12,c025ex797,1,1
91,2022-09-12,c060cp78,2,2
92,2022-09-12,c579bc154,4,4
93,2022-09-12,c815mp09,12,9
94,2022-09-12,e321mx750,3,3
95,2022-09-12,e419ac11,1,1
96,2022-09-12,h003ek178,1,1
97,2022-09-12,h081ty93,1,1
98,2022-09-12,k090mo777,1,1
99,2022-09-12,k725xc73,1,1
100,2022-09-12,m663hx198,2,1
101,2022-09-12,m707mm78,22,21
102,2022-09-12,o543mc174,3,2
103,2022-09-12,p444ky777,3,1
104,2022-09-12,p803ee56,3,3
105,2022-09-12,t146yc56,172,114
106,2022-09-12,x085ee98,1,1
107,2022-09-12,x444bc197,3,3
108,2022-09-12,x922mm56,1,1
109,2022-09-13,a261ab198,1,1
110,2022-09-13,a474ka159,2,2
111,2022-09-13,a642ab136,1,1
112,2022-09-13,a714ht38,1119,705
113,2022-09-13,a988ao54,82,40
114,2022-09-13,b166pe750,11,11
115,2022-09-13,b306ab797,2,2
116,2022-09-13,b795mc156,2,2
117,2022-09-13,c025ex797,1,1
118,2022-09-13,c060cp78,11,5
119,2022-09-13,c579bc154,8,8
120,2022-09-13,c815mp09,49,34
121,2022-09-13,c830bm797,8,8
122,2022-09-13,e321mx750,4,2
123,2022-09-13,e419ac11,6,4
124,2022-09-13,e839bh150,1,1
125,2022-09-13,e945yy163,1,1
126,2022-09-13,e954yh154,2,1
127,2022-09-13,h003ek178,2,2
128,2022-09-13,h081ty93,21,4
129,2022-09-13,h795ek47,2,2
130,2022-09-13,k090mo777,9,9
131,2022-09-13,k140hm198,3,3
132,2022-09-13,k484kh98,1,1
133,2022-09-13,k725xc73,2,2
134,2022-09-13,k784cy98,3,1
135,2022-09-13,k828oh24,2,2
136,2022-09-13,m244ck38,1,1
137,2022-09-13,m250op68,1,1
138,2022-09-13,m460ho197,7,7
139,2022-09-13,m482ke97,1,1
140,2022-09-13,m666ka98,5,3
141,2022-09-13,m707mm78,42,26
142,2022-09-13,p282oe198,1,1
143,2022-09-13,p444ky777,11,11
144,2022-09-13,p536kh761,1,1
145,2022-09-13,p745hb198,4,4
146,2022-09-13,p803ee56,3,3
147,2022-09-13,t146yc56,663,427
148,2022-09-13,t522mm797,2,2
149,2022-09-13,t531ka77,2,2
150,2022-09-13,t949kt78,1,1
151,2022-09-13,x085ee98,3,3
152,2022-09-13,x137ke56,1,1
153,2022-09-13,x242ay797,1,1
154,2022-09-13,x304ak152,1,1
155,2022-09-13,x444bc197,4,2
156,2022-09-13,x920mb56,1,1
157,2022-09-13,x922mm56,3,3
158,2022-09-13,y090oe26,1,1
159,2022-09-13,y199yc777,1,1
160,2022-09-13,y535ao47,2,2
161,2022-09-14,a714ht38,1126,681
162,2022-09-14,a988ao54,74,28
163,2022-09-14,b166pe750,11,10
164,2022-09-14,b306ab797,1,1
165,2022-09-14,b795mc156,1,1
166,2022-09-14,c060cp78,3,3
167,2022-09-14,c579bc154,11,9
168,2022-09-14,c815mp09,39,32
169,2022-09-14,c830bm797,3,3
170,2022-09-14,e321mx750,2,2
171,2022-09-14,e419ac11,3,3
172,2022-09-14,h081ty93,4,4
173,2022-09-14,h795ek47,1,1
174,2022-09-14,k090mo777,4,4
175,2022-09-14,k725xc73,1,1
176,2022-09-14,k784cy98,3,2
177,2022-09-14,m129ht98,1,1
178,2022-09-14,m244ck38,1,1
179,2022-09-14,m460ho197,3,2
180,2022-09-14,m482ke97,2,2
181,2022-09-14,m707mm78,31,23
182,2022-09-14,p444ky777,13,13
183,2022-09-14,p536kh761,1,1
184,2022-09-14,p745hb198,4,4
185,2022-09-14,p803ee56,2,2
186,2022-09-14,t146yc56,664,448
187,2022-09-14,t522mm797,1,1
188,2022-09-14,t790ek761,1,1
189,2022-09-14,t949kt78,2,2
190,2022-09-14,x304ak152,3,3
191,2022-09-14,x920mb56,1,1
192,2022-09-14,x922mm56,1,1
193,2022-09-14,y150op77,1,1
194,2022-09-14,y534ce24,2,2
195,2022-09-14,y535ao47,2,2
196,2022-09-14,y769aa178,1,1
197,2022-09-15,a011ko790,5,5
198,2022-09-15,a474ka159,2,2
199,2022-09-15,a714ht38,1227,753
200,2022-09-15,a988ao54,53,23
201,2022-09-15,b144ko147,1,1
202,2022-09-15,b166pe750,3,3
203,2022-09-15,b306ab797,7,3
204,2022-09-15,b795mc156,1,1
205,2022-09-15,b944hx190,23,2
206,2022-09-15,c060cp78,12,7
207,2022-09-15,c579bc154,9,7
208,2022-09-15,c815mp09,71,53
209,2022-09-15,c830bm797,13,10
210,2022-09-15,e321mx750,8,5
211,2022-09-15,e419ac11,19,17
212,2022-09-15,e582ob154,1,1
213,2022-09-15,e945yy163,132,103
214,2022-09-15,h003ek178,1,1
215,2022-09-15,h081ty93,7,6
216,2022-09-15,h191yo26,3,2
217,2022-09-15,h795ek47,2,2
218,2022-09-15,k090mo777,21,21
219,2022-09-15,k140hm198,6,4
220,2022-09-15,k426ek199,3,2
221,2022-09-15,k784cy98,1,1
222,2022-09-15,m244ck38,2,2
223,2022-09-15,m460ho197,1,1
224,2022-09-15,m482ke97,2,2
225,2022-09-15,m666ka98,1,1
226,2022-09-15,m707mm78,19,13
227,2022-09-15,o007my790,1,1
228,2022-09-15,o581kp761,3,2
229,2022-09-15,o658po799,1,1
230,2022-09-15,p444ky777,21,16
231,2022-09-15,p745hb198,13,7
232,2022-09-15,p803ee56,63,45
233,2022-09-15,t146yc56,633,424
234,2022-09-15,t621bc39,1,1
235,2022-09-15,t949kt78,2,1
236,2022-09-15,x085ee98,2,2
237,2022-09-15,x137ke56,2,2
238,2022-09-15,x304ak152,3,3
239,2022-09-15,x444bc197,2,2
240,2022-09-15,x920mb56,1,1
241,2022-09-15,x922mm56,34,27
242,2022-09-15,y090oe26,2,1
243,2022-09-15,y199yc777,67,35
244,2022-09-15,y769aa178,273,229
245,2022-09-16,a011ko790,1,1
246,2022-09-16,a325bt198,3,2
247,2022-09-16,a713bx790,30,8
248,2022-09-16,a714ht38,1135,687
249,2022-09-16,a901mk40,5,1
250,2022-09-16,a988ao54,52,11
251,2022-09-16,b166pe750,4,4
252,2022-09-16,b306ab797,2,2
253,2022-09-16,b450yk24,1,1
254,2022-09-16,b772ay05,5,2
255,2022-09-16,c025ex797,1,1
256,2022-09-16,c060cp78,4,4
257,2022-09-16,c491ab797,101,86
258,2022-09-16,c579bc154,17,6
259,2022-09-16,c610pp39,1,1
260,2022-09-16,c815mp09,71,47
261,2022-09-16,c830bm797,8,6
262,2022-09-16,e100pe61,1,1
263,2022-09-16,e321mx750,2,2
264,2022-09-16,e419ac11,8,7
265,2022-09-16,e923mo03,1,1
266,2022-09-16,e945yy163,573,415
267,2022-09-16,e985et124,2,1
268,2022-09-16,h081ty93,2,2
269,2022-09-16,h191yo26,2,2
270,2022-09-16,k090mo777,78,66
271,2022-09-16,k140hm198,2,2
272,2022-09-16,k426ek199,1,1
273,2022-09-16,k484kh98,1,1
274,2022-09-16,k725xc73,5,4
275,2022-09-16,k784cy98,1,1
276,2022-09-16,m048pk198,1,1
277,2022-09-16,m663hx198,1,1
278,2022-09-16,m666ka98,1,1
279,2022-09-16,m707mm78,30,21
280,2022-09-16,o658po799,1,1
281,2022-09-16,p444ky777,33,23
282,2022-09-16,p745hb198,6,4
283,2022-09-16,p803ee56,278,191
284,2022-09-16,t146yc56,629,394
285,2022-09-16,t287at177,1,1
286,2022-09-16,t531ka77,2,2
287,2022-09-16,t949kt78,2,2
288,2022-09-16,x035em193,1,1
289,2022-09-16,x085ee98,6,2
290,2022-09-16,x137ke56,5,5
291,2022-09-16,x304ak152,2,2
292,2022-09-16,x444bc197,3,3
293,2022-09-16,x920mb56,2,2
294,2022-09-16,x922mm56,113,93
295,2022-09-16,y090oe26,1,1
296,2022-09-16,y150op77,2,2
297,2022-09-16,y199yc777,265,203
298,2022-09-16,y534ce24,1,1
299,2022-09-16,y535ao47,1,1
300,2022-09-16,y769aa178,864,708
301,2022-09-17,a011ko790,2,2
302,2022-09-17,a201ah761,2,1
303,2022-09-17,a474ka159,1,1
304,2022-09-17,a642ab136,2,1
305,2022-09-17,a713bx790,12,12
306,2022-09-17,a714ht38,1305,759
307,2022-09-17,a894ep152,1,1
308,2022-09-17,a988ao54,59,25
309,2022-09-17,b166pe750,11,9
310,2022-09-17,b772ay05,1,1
311,2022-09-17,c060cp78,2,2
312,2022-09-17,c491ab797,65,34
313,2022-09-17,c579bc154,7,6
314,2022-09-17,c815mp09,97,55
315,2022-09-17,c830bm797,9,7
316,2022-09-17,c982ec150,1,1
317,2022-09-17,e321mx750,1,1
318,2022-09-17,e419ac11,7,5
319,2022-09-17,e945yy163,102,75
320,2022-09-17,h081ty93,3,3
321,2022-09-17,h191yo26,1,1
322,2022-09-17,h795ek47,2,2
323,2022-09-17,k090mo777,26,22
324,2022-09-17,k140hm198,5,5
325,2022-09-17,k784cy98,1,1
326,2022-09-17,k894co178,1,1
327,2022-09-17,m129ht98,1,1
328,2022-09-17,m244ck38,1,1
329,2022-09-17,m250op68,2,2
330,2022-09-17,m482ke97,2,2
331,2022-09-17,m707mm78,23,12
332,2022-09-17,o543mc174,1,1
333,2022-09-17,o581kp761,11,2
334,2022-09-17,o783bh790,10,6
335,2022-09-17,p282oe198,2,1
336,2022-09-17,p444ky777,22,20
337,2022-09-17,p536kh761,7,2
338,2022-09-17,p745hb198,4,4
339,2022-09-17,p803ee56,76,46
340,2022-09-17,t146yc56,729,494
341,2022-09-17,t287at177,4,4
342,2022-09-17,t531ka77,5,2
343,2022-09-17,t621bc39,1,1
344,2022-09-17,t949kt78,3,2
345,2022-09-17,x444bc197,1,1
346,2022-09-17,x920mb56,1,1
347,2022-09-17,x922mm56,47,30
348,2022-09-17,y150op77,1,1
349,2022-09-17,y199yc777,75,60
350,2022-09-17,y534ce24,1,1
351,2022-09-17,y535ao47,1,1
352,2022-09-17,y685yx174,1,1
353,2022-09-17,y769aa178,1058,889
354,2022-09-18,a325bt198,9,3
355,2022-09-18,a474ka159,4,2
356,2022-09-18,a642ab136,2,2
357,2022-09-18,a713bx790,70288,54507
358,2022-09-18,a714ht38,1701,980
359,2022-09-18,a901mk40,2,1
360,2022-09-18,a988ao54,54,41
361,2022-09-18,b144ko147,2,2
362,2022-09-18,b166pe750,10,10
363,2022-09-18,b306ab797,4,3
364,2022-09-18,b666mp66,2,2
365,2022-09-18,b772ay05,1,1
366,2022-09-18,c060cp78,2,2
367,2022-09-18,c491ab797,61,54
368,2022-09-18,c579bc154,15,15
369,2022-09-18,c815mp09,82,46
370,2022-09-18,c830bm797,123,97
371,2022-09-18,e321mx750,5,3
372,2022-09-18,e419ac11,8,8
373,2022-09-18,e426kh98,1,1
374,2022-09-18,e923mo03,1,1
375,2022-09-18,e945yy163,55,44
376,2022-09-18,e985et124,1,1
377,2022-09-18,h081ty93,2,2
378,2022-09-18,h191yo26,2,1
379,2022-09-18,h795ek47,10,7
380,2022-09-18,k090mo777,24,21
381,2022-09-18,k140hm198,3,3
382,2022-09-18,k426ek199,2818,2011
383,2022-09-18,k484kh98,2,2
384,2022-09-18,k684mx150,1,1
385,2022-09-18,k725xc73,1,1
386,2022-09-18,k784cy98,3,3
387,2022-09-18,m129ht98,2,2
388,2022-09-18,m244ck38,1,1
389,2022-09-18,m250op68,4,3
390,2022-09-18,m460ho197,1,1
391,2022-09-18,m707mm78,27,25
392,2022-09-18,m973by78,1,1
393,2022-09-18,o581kp761,768,503
394,2022-09-18,o783bh790,3,3
395,2022-09-18,p176hh198,2,2
396,2022-09-18,p444ky777,49,33
397,2022-09-18,p536kh761,3,3
398,2022-09-18,p745hb198,22,19
399,2022-09-18,p803ee56,55,40
400,2022-09-18,t146yc56,985,627
401,2022-09-18,t287at177,5,2
402,2022-09-18,t790ek761,1,1
403,2022-09-18,t949kt78,2,2
404,2022-09-18,x085ee98,79,57
405,2022-09-18,x304ak152,8,4
406,2022-09-18,x444bc197,3,3
407,2022-09-18,x645ph177,1,1
408,2022-09-18,x920mb56,1,1
409,2022-09-18,x922mm56,18,15
410,2022-09-18,y090oe26,1,1
411,2022-09-18,y150op77,1,1
412,2022-09-18,y199yc777,56,37
413,2022-09-18,y534ce24,1,1
414,2022-09-18,y535ao47,1,1
415,2022-09-18,y769aa178,1578,1307
416,2022-09-19,a325bt198,6,5
417,2022-09-19,a388xh122,4,1
418,2022-09-19,a474ka159,2,2
419,2022-09-19,a713bx790,24904,19312
420,2022-09-19,a714ht38,1648,1018
421,2022-09-19,a901mk40,12,3
422,2022-09-19,a988ao54,27,26
423,2022-09-19,b144ko147,2,1
424,2022-09-19,b166pe750,12,8
425,2022-09-19,b306ab797,2,2
426,2022-09-19,b772ay05,1,1
427,2022-09-19,b944hx190,1,1
428,2022-09-19,c060cp78,2,2
429,2022-09-19,c491ab797,27,23
430,2022-09-19,c579bc154,7,6
431,2022-09-19,c815mp09,84,48
432,2022-09-19,c830bm797,84,65
433,2022-09-19,e184ph40,1,1
434,2022-09-19,e321mx750,4,4
435,2022-09-19,e419ac11,5,5
436,2022-09-19,e426kh98,4,4
437,2022-09-19,e945yy163,37,30
438,2022-09-19,h605ht102,1,1
439,2022-09-19,h795ek47,8,7
440,2022-09-19,k090mo777,17,16
441,2022-09-19,k140hm198,1,1
442,2022-09-19,k426ek199,766,532
443,2022-09-19,k784cy98,4,4
444,2022-09-19,m048pk198,1,1
445,2022-09-19,m129ht98,5,4
446,2022-09-19,m707mm78,38,26
447,2022-09-19,m973by78,2,1
448,2022-09-19,o386bt40,1,1
449,2022-09-19,o581kp761,277,182
450,2022-09-19,p282oe198,1,1
451,2022-09-19,p444ky777,50,38
452,2022-09-19,p536kh761,1,1
453,2022-09-19,p745hb198,15,8
454,2022-09-19,p803ee56,43,31
455,2022-09-19,t146yc56,871,583
456,2022-09-19,t287at177,1,1
457,2022-09-19,t621bc39,1,1
458,2022-09-19,t949kt78,4,2
459,2022-09-19,x085ee98,117,77
460,2022-09-19,x304ak152,9,2
461,2022-09-19,x922mm56,11,10
462,2022-09-19,y150op77,1,1
463,2022-09-19,y199yc777,56,43
464,2022-09-19,y455co750,1,1
465,2022-09-19,y535ao47,1,1
466,2022-09-19,y769aa178,1298,1116
467,2022-09-20,a325bt198,2,2
468,2022-09-20,a474ka159,2,2
469,2022-09-20,a713bx790,12425,9862
470,2022-09-20,a714ht38,1318,769
471,2022-09-20,a894ep152,1,1
472,2022-09-20,a988ao54,28,25
473,2022-09-20,b144ko147,11,3
474,2022-09-20,b166pe750,4,4
475,2022-09-20,b306ab797,5,4
476,2022-09-20,b450yk24,8,3
477,2022-09-20,b772ay05,264,213
478,2022-09-20,b944hx190,1,1
479,2022-09-20,c025ex797,1,1
480,2022-09-20,c060cp78,3,3
481,2022-09-20,c491ab797,41,35
482,2022-09-20,c579bc154,14,8
483,2022-09-20,c610pp39,1,1
484,2022-09-20,c815mp09,100,49
485,2022-09-20,c830bm797,38,32
486,2022-09-20,e015mt51,1,1
487,2022-09-20,e321mx750,3,3
488,2022-09-20,e419ac11,11,4
489,2022-09-20,e582ob154,1,1
490,2022-09-20,e945yy163,47,38
491,2022-09-20,e985et124,2,1
492,2022-09-20,h081ty93,71,52
493,2022-09-20,h191yo26,11,3
494,2022-09-20,h795ek47,23,22
495,2022-09-20,k090mo777,18,17
496,2022-09-20,k426ek199,483,338
497,2022-09-20,k684mx150,1,1
498,2022-09-20,k725xc73,1,1
499,2022-09-20,k784cy98,5,3
500,2022-09-20,m129ht98,5,3
501,2022-09-20,m244ck38,1,1
502,2022-09-20,m250op68,1,1
503,2022-09-20,m663hx198,1,1
504,2022-09-20,m707mm78,32,26
505,2022-09-20,o312hk799,1,1
506,2022-09-20,o386bt40,17,4
507,2022-09-20,o581kp761,136,87
508,2022-09-20,o658po799,1,1
509,2022-09-20,o783bh790,1,1
510,2022-09-20,p176hh198,2,1
511,2022-09-20,p423cp74,1,1
512,2022-09-20,p444ky777,77,68
513,2022-09-20,p745hb198,5,5
514,2022-09-20,p803ee56,36,30
515,2022-09-20,t146yc56,694,459
516,2022-09-20,t621bc39,1,1
517,2022-09-20,t790ek761,2,2
518,2022-09-20,t949kt78,3,3
519,2022-09-20,x085ee98,30,28
520,2022-09-20,x304ak152,2,2
521,2022-09-20,x444bc197,3,2
522,2022-09-20,x630om161,1,1
523,2022-09-20,x920mb56,3,3
